EventID,EventType,StartDateTime,EndDateTime,Borough,Category,SubCategoryName
89620,Shooting Permit,03/13/2013 08:00:00 AM,03/13/2013 11:59:00 PM,Brooklyn,Film,Not Applicable
149548,Shooting Permit,04/02/2014 06:00:00 AM,04/02/2014 07:00:00 PM,Brooklyn,Still Photography,Not Applicable
250210,Shooting Permit,10/27/2015 06:00:00 AM,10/27/2015 08:00:00 PM,Manhattan,Television,Cable-episodic
193599,Shooting Permit,12/16/2014 08:00:00 AM,12/17/2014 12:00:00 AM,Brooklyn,Television,Made for TV/mini-series
189324,Shooting Permit,11/19/2014 08:00:00 AM,11/20/2014 12:00:00 AM,Queens,Television,Episodic series
254927,Theater Load in and Load Outs,11/21/2015 06:00:00 PM,11/22/2015 01:00:00 AM,Brooklyn,Theater,Theater
286668,Shooting Permit,05/16/2016 10:00:00 AM,05/17/2016 01:00:00 AM,Brooklyn,Television,Cable-episodic
179375,Shooting Permit,09/04/2014 01:00:00 PM,09/04/2014 11:59:00 PM,Manhattan,Television,Not Applicable
46255,Shooting Permit,02/15/2012 06:00:00 AM,02/15/2012 07:00:00 PM,Staten Island,Student,Student Film
114834,Shooting Permit,07/29/2013 07:00:00 AM,07/29/2013 07:00:00 PM,Manhattan,Still Photography,Not Applicable
196162,Theater Load in and Load Outs,01/05/2015 07:00:00 AM,01/15/2015 11:59:00 PM,Manhattan,Theater,Theater
162049,Shooting Permit,05/28/2014 07:00:00 AM,05/28/2014 12:00:00 PM,Manhattan,Television,Talk Show
192444,Shooting Permit,12/03/2014 05:00:00 AM,12/03/2014 07:00:00 PM,Manhattan,Television,Made for TV/mini-series
218354,Shooting Permit,05/06/2015 07:00:00 AM,05/06/2015 06:00:00 PM,Manhattan,Television,Talk Show
123640,Shooting Permit,10/01/2013 07:00:00 AM,10/01/2013 09:30:00 PM,Brooklyn,Film,Feature
61761,Shooting Permit,06/14/2012 03:00:00 AM,06/14/2012 12:00:00 PM,Manhattan,Television,Morning Show
257581,Shooting Permit,12/09/2015 06:00:00 AM,12/09/2015 11:00:00 PM,Queens,Television,Cable-episodic
112685,Shooting Permit,07/16/2013 01:00:00 PM,07/17/2013 04:00:00 PM,Manhattan,Commercial,Commercial
190607,Shooting Permit,11/25/2014 06:00:00 AM,11/25/2014 10:00:00 PM,Queens,Commercial,Commercial
233372,Shooting Permit,07/08/2015 06:00:00 AM,07/08/2015 11:59:00 PM,Queens,Television,Cable-episodic
